File Path,Emotion
../../dataset/paining/car_extcoll0223.mp3,paining
../../dataset/paining/car_extcoll0229.mp3,paining
../../dataset/paining/car_extcoll0247.mp3,paining
../../dataset/paining/car_extcoll0336.mp3,paining
../../dataset/paining/car_extcoll0148.mp3,paining
../../dataset/paining/car_extcoll0163.mp3,paining
../../dataset/paining/car_extcoll0147.mp3,paining
../../dataset/paining/car_extcoll0187.mp3,paining
../../dataset/paining/car_extcoll0146.mp3,paining
../../dataset/paining/car_extcoll0188.mp3,paining
../../dataset/fighting/car_extcoll0224.mp3,fighting
../../dataset/fighting/car_extcoll0207.mp3,fighting
../../dataset/fighting/car_extcoll0208.mp3,fighting
../../dataset/fighting/car_extcoll0239.mp3,fighting
../../dataset/fighting/car_extcoll0233.mp3,fighting
../../dataset/fighting/car_extcoll0160.mp3,fighting
../../dataset/fighting/car_extcoll0234.mp3,fighting
../../dataset/fighting/car_extcoll0222.mp3,fighting
../../dataset/fighting/car_extcoll0232.mp3,fighting
../../dataset/fighting/car_extcoll0218.mp3,fighting
../../dataset/mother_call/cat_coll0142.mp3,mother_call
../../dataset/mother_call/cat_coll01813.mp3,mother_call
../../dataset/mother_call/cat_coll0183.mp3,mother_call
../../dataset/mother_call/cat_coll0185.mp3,mother_call
../../dataset/mother_call/cat_coll0186.mp3,mother_call
../../dataset/mother_call/cat_coll0137.mp3,mother_call
../../dataset/mother_call/cat_coll0136.mp3,mother_call
../../dataset/mother_call/cat_coll0140.mp3,mother_call
../../dataset/mother_call/cat_coll0184.mp3,mother_call
../../dataset/mother_call/cat_coll0141.mp3,mother_call
../../dataset/angry/car_extcoll0156.mp3,angry
../../dataset/angry/car_extcoll0169.mp3,angry
../../dataset/angry/car_extcoll0212.mp3,angry
../../dataset/angry/car_extcoll0177.mp3,angry
../../dataset/angry/car_extcoll0191.mp3,angry
../../dataset/angry/car_extcoll0174.mp3,angry
../../dataset/angry/car_extcoll0171.mp3,angry
../../dataset/angry/car_extcoll0175.mp3,angry
../../dataset/angry/car_extcoll0172.mp3,angry
../../dataset/angry/car_extcoll0162.mp3,angry
../../dataset/defense/car_extcoll0180.mp3,defense
../../dataset/defense/car_extcoll0259.mp3,defense
../../dataset/defense/car_extcoll0236.mp3,defense
../../dataset/defense/car_extcoll0181.mp3,defense
../../dataset/defense/car_extcoll0263.mp3,defense
../../dataset/defense/car_extcoll0235.mp3,defense
../../dataset/defense/car_extcoll0251.mp3,defense
../../dataset/defense/car_extcoll0168.mp3,defense
../../dataset/defense/car_extcoll0255.mp3,defense
../../dataset/defense/car_extcoll0265.mp3,defense
../../dataset/warning/car_extcoll0243.mp3,warning
../../dataset/warning/car_extcoll0167.mp3,warning
../../dataset/warning/car_extcoll0178.mp3,warning
../../dataset/warning/car_extcoll0242.mp3,warning
../../dataset/warning/car_extcoll0239.mp3,warning
../../dataset/warning/car_extcoll0182.mp3,warning
../../dataset/warning/car_extcoll0185.mp3,warning
../../dataset/warning/car_extcoll0213.mp3,warning
../../dataset/warning/car_extcoll0238.mp3,warning
../../dataset/warning/car_extcoll0186.mp3,warning
../../dataset/happy/cat_52.mp3,happy
../../dataset/happy/cat_68.mp3,happy
../../dataset/happy/cat_53.mp3,happy
../../dataset/happy/cat_54.mp3,happy
../../dataset/happy/cat_75.mp3,happy
../../dataset/happy/cat_20.mp3,happy
../../dataset/happy/cat_76.mp3,happy
../../dataset/happy/cat_24.mp3,happy
../../dataset/happy/cat_85.mp3,happy
../../dataset/happy/cat_67.mp3,happy
